,D,E,P,PR,C,CR
CLIP,33.37631239638976,41.86774728310923,23.70602320869405,19.469515564560695,32.179038496960764,16.319764229139803
Dinov2,69.73659974212563,74.0836249769755,56.60342604531221,52.44059679498987,63.63971265426414,36.80235770860195
Dinov3,70.89703444464911,74.2862405599558,58.35328789832381,52.01694603057654,64.74488856142936,38.16540799410573
SigCLIP,62.01878799042181,65.48167249953951,43.488671946951555,37.7785964265979,56.67710443912323,21.82722416651317
TokenMark,21.71670657579665,20.758887456253454,16.83551298581691,18.30908086203721,19.15638239086388,17.92226929452938
tranSTR,63.89758703260269,67.93147909375575,45.809541351998526,38.49696076625529,59.93737336526064,22.600847301528827
