video_id,total_wrongs,total_questions,all_wrong_qtypes,n_models,fail_rate
IyioB505hJU_000003_000013,45.0,8.0,6.0,6.0,0.9375
WgUHvAVzn7M_000008_000018,45.0,8.0,6.0,6.0,0.9375
a0ayV0ST3nc_000004_000014,45.0,8.0,6.0,6.0,0.9375
d57GBFuOTWI_000037_000047,45.0,8.0,6.0,6.0,0.9375
f5Q-xljsNCI_000067_000077,45.0,8.0,6.0,6.0,0.9375
k8ocgHIIoB4_000036_000046,45.0,8.0,6.0,6.0,0.9375
lqDsEFcKW_Y_000040_000050,45.0,8.0,6.0,6.0,0.9375
o7BixzL6uDo_000110_000120,45.0,8.0,6.0,6.0,0.9375
7CZVX3dHrbY_000002_000012,44.0,8.0,6.0,6.0,0.9166666666666666
C06FHZRBadE_000000_000010,44.0,8.0,6.0,6.0,0.9166666666666666
I2MXcG9mezI_000003_000013,44.0,8.0,6.0,6.0,0.9166666666666666
KJbZBkwvBKE_000003_000013,44.0,8.0,6.0,6.0,0.9166666666666666
L0U6VyXM7i8_000144_000154,44.0,8.0,6.0,6.0,0.9166666666666666
LdnhG8KuU_0_000026_000036,44.0,8.0,6.0,6.0,0.9166666666666666
VSwMTmpJ2Sw_000180_000190,44.0,8.0,6.0,6.0,0.9166666666666666
WPO6kv3IvsM_000022_000032,44.0,8.0,6.0,6.0,0.9166666666666666
aMCfbarJD6I_000068_000078,44.0,8.0,6.0,6.0,0.9166666666666666
fIl2mVrJ-28_000022_000032,44.0,8.0,6.0,6.0,0.9166666666666666
g3G75AQgDac_000022_000032,44.0,8.0,6.0,6.0,0.9166666666666666
uQ_NSCDjS1k_000746_000756,44.0,8.0,6.0,6.0,0.9166666666666666
yVJtxdxONmw_000193_000203,44.0,8.0,6.0,6.0,0.9166666666666666
zB5MjXOynJk_000007_000017,44.0,8.0,6.0,6.0,0.9166666666666666
3DO62LFUo4I_000281_000291,43.0,8.0,6.0,6.0,0.8958333333333334
4Qqv3APbZfg_000476_000486,43.0,8.0,6.0,6.0,0.8958333333333334
4TQM0hh_-0k_000040_000050,43.0,8.0,6.0,6.0,0.8958333333333334
9LnhOM_mgTM_000000_000010,43.0,8.0,6.0,6.0,0.8958333333333334
HLocETCTm90_000002_000012,43.0,8.0,6.0,6.0,0.8958333333333334
JcUHm-0FZR8_000483_000493,43.0,8.0,6.0,6.0,0.8958333333333334
KsSwUW-NeG0_000013_000023,43.0,8.0,6.0,6.0,0.8958333333333334
MAf022hA-0Q_000011_000021,43.0,8.0,6.0,6.0,0.8958333333333334
SuWfVESUKUM_000073_000083,43.0,8.0,6.0,6.0,0.8958333333333334
YlJvP49ZPbY_000000_000010,43.0,8.0,6.0,6.0,0.8958333333333334
hZSbT-C8Ueo_000015_000025,43.0,8.0,6.0,6.0,0.8958333333333334
i5Hm8MuFQxI_000007_000017,43.0,8.0,6.0,6.0,0.8958333333333334
lTAgxxr-580_000119_000129,43.0,8.0,6.0,6.0,0.8958333333333334
sOHBUjoJddg_000044_000054,43.0,8.0,6.0,6.0,0.8958333333333334
x5gh7DNitcc_000003_000013,43.0,8.0,6.0,6.0,0.8958333333333334
